title_key,media_type,title,release_date,vote_average,vote_count,popularity
movie:103,movie,Taxi Driver,1976-02-09,8.122,13712,19.4511
movie:426426,movie,Roma,2018-11-21,7.614,4172,5.2279
movie:658412,movie,Ludo,2020-11-12,7.198,134,1.7719
movie:329,movie,Jurassic Park,1993-06-11,7.975,18245,13.7373
movie:339403,movie,Baby Driver,2017-06-28,7.444,17109,17.1206
tv:91239,tv,Bridgerton,2020-12-25,8.054,3379,51.3184
movie:1091,movie,The Thing,1982-06-25,8.073,8183,18.4585
movie:563,movie,Starship Troopers,1997-11-07,7.117,5656,13.2751
movie:500,movie,Reservoir Dogs,1992-09-02,8.111,15747,17.0805
movie:101,movie,Léon: The Professional,1994-09-14,8.293,16419,26.1754
movie:12405,movie,Slumdog Millionaire,2008-11-12,7.728,11523,14.2531
movie:375588,movie,Robin Hood,2018-11-03,5.912,3205,12.0885
movie:564147,movie,K.G.F: Chapter 1,2018-12-20,7.509,293,4.0855
tv:86418,tv,Enaaya,2019-01-20,5.3,3,2.2723
movie:1579,movie,Apocalypto,2006-12-07,7.658,6608,17.0495
movie:578,movie,Jaws,1975-06-20,7.684,11779,22.1155
movie:429,movie,"The Good, the Bad and the Ugly",1966-12-23,8.466,9882,25.2278
movie:339964,movie,Valerian and the City of a Thousand Planets,2017-07-19,6.654,8175,9.7052
tv:71738,tv,The Orville,2017-09-10,7.625,1452,29.4911
movie:531309,movie,Brightburn,2019-05-09,6.149,3559,9.7291
movie:503919,movie,The Lighthouse,2019-10-18,7.465,5721,12.2952
movie:400650,movie,Mary Poppins Returns,2018-12-13,6.509,3512,13.4121
movie:415,movie,Batman & Robin,1997-06-20,4.393,5513,12.4634
movie:7453,movie,The Hitchhiker's Guide to the Galaxy,2005-04-28,6.69,4341,8.3372
movie:105,movie,Back to the Future,1985-07-03,8.329,22262,32.7516
movie:924,movie,Dawn of the Dead,2004-03-19,7.09,4660,11.2478
movie:109445,movie,Frozen,2013-11-20,7.249,17822,29.9977
movie:395992,movie,Life,2017-03-22,6.462,8073,10.9643
movie:454626,movie,Sonic the Hedgehog,2020-02-12,7.273,10537,20.7931
movie:458897,movie,Charlie's Angels,2019-11-14,6.4,3200,11.2256
movie:351460,movie,Death Note,2017-08-25,4.274,4169,7.4773
movie:260513,movie,Incredibles 2,2018-06-14,7.5,13893,19.0639
movie:152601,movie,Her,2013-12-18,7.836,15560,15.7265
movie:561,movie,Constantine,2005-02-08,7.201,8468,16.9402
movie:808,movie,Shrek,2001-05-18,7.777,19199,31.2468
movie:138843,movie,The Conjuring,2013-07-18,7.542,12995,32.1584
movie:949,movie,Heat,1995-12-15,7.943,8605,23.8478
movie:150540,movie,Inside Out,2015-06-17,7.907,23799,28.799
movie:402900,movie,Ocean's Eight,2018-06-07,6.948,8954,15.0249
movie:428078,movie,Mortal Engines,2018-11-27,6.25,5295,10.5114
movie:245891,movie,John Wick,2014-10-16,7.462,21233,17.0924
movie:87101,movie,Terminator Genisys,2015-06-23,5.958,9132,20.2525
tv:81292,tv,Messiah,2020-01-01,7.259,435,8.3374
movie:494886,movie,Zero,2018-05-31,4.333,6,1.7743
tv:84105,tv,Mirzapur,2018-11-15,8.0,193,16.3485
movie:283995,movie,Guardians of the Galaxy Vol. 2,2017-04-25,7.609,23330,27.824
movie:240832,movie,Lucy,2014-07-25,6.476,17310,16.1935
movie:4147,movie,Road to Perdition,2002-07-12,7.361,4093,9.8544
movie:9799,movie,The Fast and the Furious,2001-06-22,7.013,11055,2.3056
